,19,0,
compound label,p value,adjusted p value,FC: POST/PRE
xylitol,0.833658485,0.959881424,0.960869565
xanthine,0.906755709,0.985031625,1.117540687
valine,0.871224517,0.969015024,0.918879523
uridine,0.285917599,0.880987583,1.023650697
uric.acid,0.866692931,0.969015024,0.934900807
urea,0.809021575,0.956810569,0.993351658
tyrosine,0.66014606,0.922609507,1.016270324
tryptophan,0.423221401,0.881486612,1.043736478
trehalose,0.353399222,0.880987583,0.994513032
trans.4.hydroxyproline,0.646929875,0.922609507,1.02489255
tocopherol.gamma.,0.328533551,0.880987583,0.874441964
tocopherol.alpha.,0.912989804,0.985031625,0.955027027
threonine,0.057936993,0.77703074,1.179981486
threonic.acid,0.179706019,0.880987583,1.217500224
threitol,0.395544441,0.880987583,1.158241758
taurine,0.746746919,0.956810569,1.068241789
sucrose,0.183114492,0.880987583,0.775609756
succinic.acid,0.771578807,0.956810569,1.052734375
stearic.acid,0.924555158,0.985031625,1.029081934
sorbitol,0.414899351,0.880987583,0.961438756
serine,0.391418222,0.880987583,1.042774233
salicylic.acid,0.672363062,0.922609507,1.165257494
ribose,0.020776694,0.720058853,0.793012525
ribonic.acid,0.17307158,0.880987583,1.36523126
ribitol,0.423174296,0.881486612,1.064356436
pyrophosphate,0.575896036,0.90183871,0.977515458
pseudo.uridine,0.38924028,0.880987583,0.980904037
propane.1.3.diol.NIST,0.667111249,0.922609507,1.075359271
proline,0.337482328,0.880987583,0.913231587
pipecolinic.acid,0.631650442,0.917998642,0.917525773
phosphoethanolamine,0.418429506,0.881486612,1.129366106
phosphate,0.407264261,0.880987583,1.080362727
phenylethylamine,0.588247284,0.90183871,0.702572347
phenylalanine,0.028848621,0.720058853,1.098831493
pelargonic.acid,0.464442283,0.90183871,0.856510392
palmitoleic.acid,0.19751584,0.880987583,0.925
palmitic.acid,0.401212212,0.880987583,1.023388533
oxoproline,0.598087778,0.90183871,0.940245142
oxalic.acid,0.143432877,0.880987583,1.024273215
ornithine,0.468993638,0.90183871,1.083602818
oleic.acid,0.554838483,0.90183871,1.0457598
oleamide.NIST,0.151463747,0.880987583,0.760840999
N.methylglutamic.acid,0.702696037,0.940411333,1.15074068
N.methylalanine,0.842991436,0.963786106,1.119103684
n.acetylglutamate,0.775358897,0.956810569,0.894268423
myristic.acid,0.669026657,0.922609507,1.102733686
myo.inositol,0.147695899,0.880987583,0.86735221
methionine.sulfoxide,0.054452894,0.77703074,1.513803681
methionine,0.852483814,0.963786106,0.960458799
methanolphosphate,0.567470629,0.90183871,1.039578483
mannose,0.794746846,0.956810569,1.011504544
malic.acid,0.054743847,0.77703074,0.951890034
maleimide,0.328940379,0.880987583,0.916587226
lyxitol,0.021045182,0.720058853,0.554219282
lysine,0.823860235,0.958727035,1.045250708
linoleic.acid,0.499966562,0.90183871,0.987196323
leucine,0.314899157,0.880987583,1.116534148
lauric.acid,0.286215701,0.880987583,0.769559102
lactic.acid,0.560920713,0.90183871,1.300615968
lactamide,0.759106246,0.956810569,1.227334235
isothreonic.acid,0.410708236,0.880987583,1.039541759
isoleucine,0.06919082,0.808049937,1.068191272
inosine,0.187191982,0.880987583,0.692883323
indole.3.lactate,0.831675009,0.959881424,0.963346815
indole.3.acetate,0.169628163,0.880987583,0.836911942
hypoxanthine,0.063906868,0.77703074,0.868810618
hydroxylamine,0.819287337,0.956810569,0.910153802
hydroxycarbamate.NIST,0.413806391,0.880987583,0.985719626
histidine,0.595465006,0.90183871,1.027769825
hippuric.acid,0.116959873,0.880987583,0.907146877
hexuronic.acid,0.457590588,0.90183871,0.664098613
hexitol,0.030826769,0.720058853,0.655757334
heptadecanoic.acid,0.857903934,0.964036379,1.047742413
guanosine,0.554308089,0.90183871,1.135951662
glycolic.acid,0.047418763,0.77703074,0.8791423
glycine,0.994869479,0.999609968,0.944862678
glycerol.alpha.phosphate,0.218405331,0.880987583,0.864864865
glycerol,0.265323046,0.880987583,0.987243465
glyceric.acid,0.592254704,0.90183871,1.158994885
glutamine,0.665350738,0.922609507,1.076184448
glutamic.acid,0.811412273,0.956810569,1.057846411
glucose,0.933536076,0.985031625,1.021415469
gluconic.acid,0.478605579,0.90183871,1.036334913
galactitol,0.323193657,0.880987583,1.043122677
fumaric.acid,0.228331388,0.880987583,1.188368336
fucose,0.586807598,0.90183871,0.904836193
erythronic.acid.lactone,0.990118984,0.999609968,0.980181668
erythritol,0.252521457,0.880987583,1.020841931
dodecanol,0.03260382,0.720058853,1.183175034
dehydroascorbic.acid,0.34410571,0.880987583,0.734728805
dehydroabietic.acid,0.159005077,0.880987583,0.787174721
cystine,0.187656163,0.880987583,0.795625644
cysteine,0.817125681,0.956810569,1.143010177
creatinine,0.370814261,0.880987583,0.958419958
conduritol.beta.epoxide,0.238821448,0.880987583,1.240938166
citrulline,0.811231813,0.956810569,1.034423408
citric.acid,0.301342366,0.880987583,1.057912713
cholesterol,0.72419456,0.944913633,0.985811161
