compound label,p value,adjusted p value,FC: POST/PRE
X1_Ceramide..d18.1.17.0..iSTD,0.12577603444739,0.445249143337215,0.979429045935507
X1_CUDA.iSTD,0.746813543734665,0.887758509640081,0.994939512693815
X1_FA..16.0..d3.iSTD,0.969032286176707,0.980111581152726,0.999900737873729
X1_LPC..17.0..iSTD,0.260635244064944,0.581211255860701,1.0038337113319
X1_LPE..17.1..iSTD,0.205314137567511,0.542557517130479,0.969537762061126
X1_MAG..17.0.0.0.0.0..iSTD,0.286573477874172,0.60979588799924,1.00985731059709
X1_PC..12.0.13.0..iSTD,0.267870346258146,0.592797786076582,0.955739972337483
X1_PE..17.0.17.0..iSTD,0.312192260875306,0.63349962425792,0.964258541357197
X1_PG..17.0.17.0..iSTD,0.0214498110852264,0.273807018779674,0.969843705448307
X1_SM..d18.1.17.0..iSTD,0.217911398997716,0.55894219491414,1.018273581622
Ceramide..d32.1..,0.139711483569089,0.479503610274156,0.935483870967742
Ceramide..d34.1..,0.0482773074068104,0.326015327447231,0.887862137862138
Ceramide..d34.2..,0.620954091429039,0.835577733318786,0.922570016474465
Ceramide..d36.1..,0.199745871140757,0.536119690976223,0.963686451289757
Ceramide..d38.1..,0.556606674892944,0.795561211415107,0.902249806051202
Ceramide..d39.1..,0.0990286089545413,0.413821660941865,0.878458190861051
Ceramide..d40.0..,0.00898499678086254,0.194450445605507,0.770843036795529
Ceramide..d40.1..,0.0515995482290581,0.326015327447231,0.877114765714961
Ceramide..d40.2..,0.235508372983398,0.569936326837884,0.908177905308465
Ceramide..d41.1..,0.0487528812876179,0.326015327447231,0.811160906132973
Ceramide..d42.1..,0.007356493597069,0.194450445605507,0.834590000195844
Ceramide..d42.2..A.,0.0534399889792523,0.328029386367738,0.830467769226571
Ceramide..d42.2..B.,0.229688373920565,0.569936326837884,0.911212372272853
Ceramide..d43.1..,0.761112733887646,0.891550054561997,0.780350166401389
FA..14.1...physeteric.acid.,0.305397112156804,0.626571196897354,0.930693069306931
FA..16.1...palmitoleic.acid.,0.311849404511544,0.63349962425792,0.844067663566074
FA..17.1...heptadecenoic.acid.,0.449247018988267,0.712213626751793,1.02014462809917
FA..18.1...oleic.acid.,0.750443344479924,0.887758509640081,1.01489153880591
FA..18.2...linoleic.acid.,0.760919091564015,0.891550054561997,1.30987046745623
FA..18.3...linolenic.acid.,0.8364805759696,0.924618688348107,1.23867308982255
FA..20.1...eicosenoic.acid.,0.932346608712545,0.972032671564415,1.10989278752437
FA..20.2...eicosadienoic.acid.,0.949247488878322,0.972032671564415,1.15068849051702
FA..20.3...homo.gamma.linolenic.acid.,0.740920665612376,0.887758509640081,1.1158320687911
FA..20.4...arachidonic.acid.,0.763587186101404,0.891550054561997,1.02823395965873
FA..20.5...eicosapentaenoic.acid.,0.793876486631058,0.893512806815522,1.09051504334523
FA..22.6...docosahexaenoic.acid.,0.725011501169535,0.880754514792157,1.24711544394398
FA..24.1...nervonic.acid.,0.440732163286455,0.708075458105592,1.08081945069788
GlcCer..d38.1..,0.42817954390956,0.704342681697382,0.9393215480172
GlcCer..d40.1..,0.250354108360188,0.577580432565413,0.888503285830318
GlcCer..d41.1..,0.918880391123798,0.969444966726436,1.0077474892396
GlcCer..d42.1..,0.104661168316114,0.421678330317095,0.906649282920469
GlcCer..d42.2..,0.482056754360306,0.74047085537523,0.967773265053858
GlcCer.d14.1.4E..20.0.2OH...,0.645404764968028,0.840565565423293,0.839931153184165
LPC..16.0.,0.0343876694902001,0.298742878696114,0.889087488240828
LPC..16.1..,0.00731392862669081,0.194450445605507,0.876988335100742
LPC..18.0..A.,0.126960596315707,0.445249143337215,0.828067913174296
LPC..18.0..B.,0.185632800203063,0.536119690976223,0.884509567254784
LPC..18.1..,0.381336116479169,0.677493909209473,0.980107617286027
LPC..18.2..,0.163861803487395,0.517654333744272,0.942533691530408
LPC..20.3..,0.111125649516255,0.429068480076652,0.828654188948307
LPC..20.4.,0.100366971280648,0.413821660941865,0.900989505247376
LPC..22.5..,0.245620136875013,0.577580432565413,0.782016348773842
LPE..16.0..,0.00730863658094432,0.194450445605507,0.755186038854132
LPE..18.2..,0.0412456333753966,0.309899623739466,0.86347100363792
LPE..20.4..,0.0314240604798773,0.289113545373802,0.837021608956001
LPE..22.6..,0.400795041646702,0.680558333351774,0.855566218809981
PC..32.0..,0.00312636943710844,0.194450445605507,0.880452427082788
PC..32.1..,0.088545486370662,0.406870168777587,0.797899027908435
