compound label,p value,adjusted p value,FC: POST/PRE
X1_CE..22.1..iSTD,0.128307826321408,0.474564820182398,1.07561830188632
X1_Ceramide.C17.iSTD,0.783436916859909,0.919023699669725,1.0096434593083
X1_Cholesterol.d7.iSTD,0.187913961669758,0.544760676759805,1.03292817679558
X1_CUDA..pos..iSTD,0.379242927765904,0.696222091271735,0.985934530095037
X1_DG..12.0.12.0.0.0..iSTD,0.173030465932841,0.524716424804125,0.975524844392868
X1_DG..18.1.2.0.0.0..iSTD,0.250448267608205,0.600657265767867,0.987506656879255
X1_LPC..17.0..iSTD,0.196957803944712,0.551836127273999,1.01145292468869
X1_LPE..17.1..iSTD,0.332638577149838,0.666050732386071,0.945968049724661
X1_MG..17.0.0.0.0.0..iSTD,0.760184798208743,0.907766598076718,0.994983536275442
X1_PC..25.0..iSTD,0.453610287001151,0.753423235510908,0.974986972381449
X1_PE..17.0.17.0..iSTD,0.203628294452631,0.553072433828755,0.9633970576238
X1_SM..d35.1..iSTD,0.0712507039212269,0.409360697780074,0.956043018094913
X1_Sphingosine..d17.1..iSTD,0.29837919151849,0.645089122086909,1.02996644683559
X1_TG..17.0.17.1.17.0..iSTD,0.413586134348384,0.733691572865965,0.981340529569149
Acylcarnitine.C10.0.,0.867753418826286,0.957418668258033,0.967741935483871
Acylcarnitine.C10.1.,0.421541686990762,0.737697952233833,0.897196261682243
Acylcarnitine.C12.0.,0.540247872590674,0.804313931081589,1.38163103721299
Acylcarnitine.C16.0.,0.135774294804916,0.479105196012428,0.930530973451327
Acylcarnitine.C18.1.,0.568549541380608,0.826137606421302,1.04919499105546
Acylcarnitine.C18.2.,0.664925930671859,0.869545654489168,1.05836876691148
CE..16.1..,0.309366632638207,0.645089122086909,0.887863733144074
CE..18.1..,0.336589772419763,0.667750677542434,0.91071807569862
CE..18.2..,0.417403587152421,0.733691572865965,0.927486395035755
CE..18.3..,0.0300526959160949,0.376511759881422,0.791737482023794
CE..20.4..,0.275533943870293,0.622663321974599,0.916669972364367
CE..20.5..,0.887081337218613,0.964309105565824,0.963925405074901
CE..22.6..,0.602660777452657,0.850640867847111,0.890848952590959
Ceramide..d18.1.23.0..,0.00964906337951488,0.347802034570957,0.815510597302505
Ceramide..d40.1..,0.13380295686262,0.479105196012428,0.888850475367329
Ceramide..d42.1..,0.00486403508531985,0.327779441396848,0.85698413678168
Ceramide..d42.2..,0.915394163830931,0.970054653431727,0.891994177583697
Cholesterol.,0.207110180021748,0.557442715742447,0.998685841434822
DG..36.2..,0.655203118175032,0.868058394118808,0.930356193514088
DG..36.3..,0.719638641044402,0.901686609666799,0.99496475327291
DG..36.4..,0.975218734929855,0.994861766320622,0.901628222523745
Gal.Gal.Cer.d18.1.16.0..or.Lactosylceramide.d18.1.16.0..,0.807657866035311,0.927838920203681,0.956501619620546
GlcCer..d40.1..,0.23796750856855,0.587077435179144,0.972781709308655
GlcCer..d42.1..,0.0766716832634566,0.409360697780074,0.935348631950574
GlcCer..d42.2..,0.0977074179415992,0.429214728814882,0.736682808716707
LPC..14.0..,0.826675493409982,0.941135827392636,1.03211351755041
LPC..15.0..,0.29475130524687,0.645089122086909,1.02930127723516
LPC..16.0..,0.0102420706558893,0.347802034570957,0.823595800729697
LPC..16.1..,0.173544205377672,0.524716424804125,0.87352873297946
LPC..18.0..,0.0837000021157956,0.409360697780074,0.852846880837105
LPC..18.1..,0.447060968010214,0.748870609838121,0.957666087616601
